BSML,CJL,CS,DS300Z,DS3Z,DS600Z,GJ,GLLYL,HKYH,JC,JS,XRJS,KZX,MD,ND,PL,PSSD,PZS,PZZJ1,PZZJ2,QCJS,QL10F,QXJC,QXQSJS,HJQXZSJ,SHL,YXCD,YXZJ,ZBY,ZGSFSD,ZJSJHJ,ZS1,ZTJJZS, ZTCC,ZTSFSD,ZTSML,ZTYJ,ZY,ZS
,,98,,,,180,,,8.680053711,1659.119995,1659.119995,3.9375,1.34,,35,,,,,1659.119995,,,,8.333333,,,,11,,12.25,73,0.709999979,216,,,,80,0.708575813
,,98,,,,180,,,8.690063477,1667.810059,1667.810059,3.9375,1.34,,35,,,,,1667.810059,,,,8.1666666,,,,12,,8,73,1.090000033,216,,,,80,1.086257935
,,98,,,,180,,,9,1676.810059,1676.810059,3.9375,1.34,,45,,,,,1676.810059,,,,7,,,,13,,8.5,117,1.059999943,216,,,,80,1.058823529
,,98,,,,180,,,8.819946289,1685.630005,1685.630005,3.9375,1.34,,35,,,,,1685.630005,,,,7.833333,,,,10,,10.3333,73,0.850000024,216,,,,80,0.853545943
,,98,,,,180,,,9.030029297,1694.660034,1694.660034,3.9375,1.34,,35,,,,,1694.660034,,,,8.16666,,,,12,,12.833333,73,0.699999988,216,,,,80,0.703638665
7.960000038,5281,98,,,,180,41,2.400000095,52.52990723,1747.189941,1747.189941,6.284,1.35,,39.8,100,3,,,1747.189941,,,,8.3333333,,,,18,1.659999967,37.41666,117,1.399999976,216,3.380000114,292,7.300000191,30,1.403917592
10.63000011,6067,98,,,,180,52,2.099999905,34.75,1781.939941,1781.939941,6.284,1.35,,39.3,116,3,,,1781.939941,,,,7.5,,,,19,1.639999986,27.5,117,1.25999999,216,2.339999914,390,9.899999619,30,1.263636364
9.850000381,5749,98,,,,180,52,2.099999905,32.82006836,1814.76001,1814.76001,6.284,1.34,,38.4,113,3,,,1814.76001,,,,7.75,,,,18,1.600000024,39.083333,117,0.839999974,216,2.289999962,361,9.399999619,30,0.839745893
7.260000229,4907,98,,,,180,38,2.599999905,301.9499512,2116.709961,2116.709961,4.7566667,1.31,,39.1,98,3,,,2116.709961,,,,7.5,,,,18,1.629999995,72.083333,73,4.190000057,216,2.329999924,266,6.800000191,220,4.188901076
7.53000021,4790,98,,,,180,43,2.400000095,252.2900391,0,0,5.823564066,1.298656126,,45.4,104,3,,,2369,,,,9.75,,,,18,1.480000019,67.416666,117,3.74000001,216,2.109999895,276,7.800000191,220,3.742250307
0,0,90,,,,180,60.72999954,0,309.5,309.5,309.5,4.7667,1.12,,60,99.44999695,3,,,309.5,,,,,,,,10,0.610000014,20.83333,92,14.85999966,375,0.769999981,0,0,50,14.85600238
