BRZYGZ,BSML,BYY,BZ,CJ,CJL,CJSJ,CLFZSJ,CLNJSJ,CS,CY,CZJSJ,CZWT,DC,DS300Z,DS3Z,DS600Z,FSCSJ,FZGZSJ,GJ,GJSJ,GLLYL,HBR,HJQXZSJ,HKYH,HNSJ,HSL,HYSJ,HZTSJ,JC,JDGSJ,JG,JH,JHR,JS,JY,KHYSJ,KZX,LJJC,LJSJ,LXJSYSJ,MBWQS,MD,MMZS,MSZJ,MT,NBHD,ND,PHZ,PL,PSSD,PZS,PZZJ1,PZZJ2,PZZJ3,PZZJ4,PZZJ5,QCJS,QL10F,QTSJ,QXCW,QXDHTZ,QXGJ,QXJC,QXQSJS,QXZSJ,QXZZJS,QYS,RQ,SBR,SCGC,SCSJ,SGSJ,SHL,SHLDDYY,SYSJ,SZDC,SZGSJ,TF,XH,XHNJSJ,XJ,XJ0,XJ1,XLSJ,XRJS,XTGSJ,YXCD,YXMS,YXZJ,ZBR,ZBY,ZCMS,ZGSFSD,ZJSD,ZJSJHJ,ZJSS,ZRTGSJ,ZS,ZS1,ZTBH,ZTCC,ZTCJ,ZTCSSJ,ZTGF,ZTJJZS,ZTLX,ZTSFSD,ZTSML,ZTXH,ZTYJ,ZY,ZZTGSJ,1
,,,"T4,B1,G0,CB6",江汉,,,,,121,,25:35:00,,,,,,,,150,,,,26.583333,,,,,,32.14001465,,,巴21,,,,,5.35375,,,,,1.25,,,,,,,23,,,,,,,,1751.780029,,,,,,,,26:35:00,,,,,,,,,,,西山窑,,,23,,,,,,1719.640015,,,砂岩+泥岩,,,9,,0,,25.58333,,,1.256287381,67,,214.3999939,,,,1.090000033,PDC,,,14,,60,,1
,,,"T4,B2,G0,CB7",江汉,,,,,121,,20:46,,,,,,,,150,,,,44.25,,,,,,42.66003418,,,巴21,,,,,4.7566667,,,,,1.26,,,,,,,23,,,,,,,,1795.599976,,,,,,,,44:15:00,,,,,,,,,,,西山窑,,,24,,,,,,1752.939941,,,泥岩,,,9,,0,,20.7666,,,2.054261852,67,,214.3999939,,,,1.25999999,PDC,,,15,,60,,1
,,,"T4,B1,G0,CB5",江汉,,,,,121,,21:15,,,,,,,,150,,,,33.75,,,,,,23.55004883,,,巴21,,,,,3.4028571,,,,,1.26,,,,,,,23,,,,,,,,1819.150024,,,,,,,,33:45:00,,,,,,,,,,,西山窑,,,25,,,,,,1795.599976,,,砂岩,,,9,,0,,21.25,,,1.108237592,67,,214.3999939,,,,0.819999993,PDC,,,16,,60,,1
,,,"T5,B1,G1,GB6",江汉,,,,,121,,15:30,,,,,,,,150,,,,25.5,,,,,,14.13000488,,,巴21,,,,,3.4028571,,,,,1.26,,,,,,,23,,,,,,,,1833.280029,,,,,,,,25:30:00,,,,,,,,,,,西山窑,,,26,,,,,,1819.150024,,,砂岩,,,9,,0,,15.5,,,0.911613218,67,,214.3999939,,,,0.910000026,PDC,,,17,,60,,1
,,,"T5,B1,G0,CB7",江汉,,,,,121,,27:50:00,,,,,,,,150,,,,37.5,,,,,,69.22998047,,,巴21,,,,,3.9375,,,,,1.27,,,,,,,23,,,,,,,,1902.51001,,,,,,,,37:30:00,,,,,,,,,,,西山窑,,,27,,,,,,1833.280029,,,砂岩+泥岩,,,9,,0,,27.83333,,,2.487304985,67,,214.3999939,,,,0.980000019,PDC,,,18,,50,,1
,,,"T5,B1,G1,CTB",江汉,,,,,121,,46:10:00,,,,,,,,150,,,,70.5,,,,,,83.39001465,,,巴21,,,,,3.9375,,,,,1.28,,,,,,,23,,,,,,,,1985.900024,,,,,,,,70:30:00,,,,,,,,,,,西山窑,,,28,,,,,,1902.51001,,,砂岩+泥岩,,,10,,0,,46.166666,,,1.806281932,67,,214.3999939,,,,1.25,PDC,,,19,,50,,1
,,,"T5,B1,G1,CB7",江汉,,,,,121,,31:50:00,,,,,,,,150,,,,62.4166666,,,,,,109.0999756,,,巴21,,,,,3.9375,,,,,1.28,,,,,,,23,,,,,,,,2095,,,,,,,,62:25:00,,,,,,,,,,,西山窑,,,29,,,,,,1985.900024,,,砂岩+泥岩,,,10,,,,31.83333,,,3.427224723,67,,214.3999939,,,,1.649999976,PDC,,,20,,50,,1
,1.039999962,,报废,江汉,4452,,,,90,,34:35:00,,,,,,,,180,,32.5,,2.416666,0.200000003,,,,,433.5,,,鲁7,,,,,3.4028571,,,,,1.05,,2,,,,,60,62.70000076,3,,,,,,433.5,,,,2,,,,2:25,,,,,,,,,,,Q,,,1,,,,,,0,,,泥岩,,,8,2,0.419999987,,34.583333,,,12.53493988,120,,444.5,,,,12.52999973,xHP2s,0.460000008,159,1,2.599999905,120,,1
,18.21999931,,报废,江汉,10142,,,,90,,49:45:00,,,,,,,,170,,81.66999817,,5.83333,0.5,,,,,914.25,,,鲁7,,,,,5.35375,,,,,1.05,,3,,,,,53,151.6000061,3,,,,,,1347.75,,,,1,,,,5:50,,,,,,,,,,,N2P,,,2,,,,,,433.5,,,泥岩（100-1060的60石膏质泥岩）,,,18,2,1.870000005,,49.75,,,18.37688442,120,,241.3000031,,,,18.37999916,H517,2.230000019,832,2,14.69999981,160,,1
,11.52999973,,报废,江汉,6018,,,,90,,39:40:00,,,,,,,,180,,76.66999817,,12,1,,,,,636.25,,,鲁7,,,,,5.35375,,,,,1.11,,2,,,,,32,147.3000031,2,,,,,,1984,,,,3,,,,12:00,,,,,,,,,,,Esh,,,3,,,,,,1347.75,,,泥岩（1720-1860粉砂岩）,,,18,1,0.920000017,,39.66666,,,16.03991866,120,,241.3000031,,,,16.04000092,H517,1.100000024,521,3,13.80000019,180,,1
,8.239999771,,报废,江汉,5213,,,,90,,47:05:00,,,,,,,,180,,66.09999847,,14.25,1.200000048,,,,,405.3000488,,,鲁7,,,,,3.3408462,,,,,1.18,,3,,,,,32,129.6000061,3,,,,,,2389.300049,,,,,,,,14:15,,,,,,,,,,,J3q,,,4,,,,,,1984,,,砂砾岩,,,18,2,0.920000017,,47.083333,,,8.608142691,60,,241.3000031,,,,8.619999886,H517,1.100000024,382,4,11.89999962,180,,1
,8.050000191,,可再用,江汉,4973,,,,90,,11:50,,,,,,,,180,,65.55999756,,10.5,1.200000048,,,,,71.5,,,鲁7,,,,,4.7566667,,,,,1.24,,1,,,55,,32,118.4000015,2,,,,,,2460.800049,,,,1,,,,10:30,,,,,,,,,,,T2K,,,5,,,,,,2389.300049,,,泥岩,,,18,1,0.920000017,,11.833333,,,6.042253691,60,,241.3000031,,,,6.039999962,H517,1.100000024,367,5,11.80000019,180,,1
,,,报废,江汉,,,,,90,,2:55,,,,,,,,180,,,,10,,,,,,9.199951172,,,鲁7,,,,,4.2675,,,,,1.24,,1,,,55,,20,,2,,,,,,2470,,,,1,,,,10:00,,,,,,,,,,,T2K1,,,6,,,,,,2460.800049,,,细砂岩,,,6,1,,,2.916666,,,3.154269694,60,,216,,,,3.150000095,PQ82,,,取芯1,,60,,1
,6.090000153,,报废,江汉,4935,,,,90,,8:45,,,,,,,,180,,65,,9.1666666,1.200000048,,,,,67.42993164,,,鲁7,,,,1:00,4.2675,,,,,1.24,,1,,,57,,32,118.4000015,2,,,,,,2537.429932,,,,2,,,,9:10,,,,,,,,,,,T2K1,,,7,,,,,,2470,,,细砂岩,,,18,2,0.920000017,,8.75,,,7.706277902,60,,241,,,,7.710000038,H517,6.099999905,354,5,11.69999981,180,,1
,,,报废,江汉,,,,,90,,4:00,,,,,,,,180,,,,8.5,,,,,,9.400146484,,,鲁7,,,,,4.2675,,,,,1.24,,,,,52,,20,,2,,,,,,2546.830078,,,,,,,,8:30,,,,,,,,,,,T2K2,,,8,,,,,,2537.429932,,,砂岩,,,6,,,,4,,,2.350036621,60,,216,,,,2.349999905,PQ82,,,取芯1,,60,,1
,5.159999847,,报废,江汉,4581,,,,90,,18:35,,,,,,,,180,,60,,9.833333,1.299999952,,,,,129.1699219,,,鲁7,,,,0:50,4.2675,,,,,1.24,,,,,46,,32,115.6999969,2,,,,,,2676,,,,,,,,9:50,,,,,,,,,,,T2K2,,,9,,,,,,2546.830078,,,细砂岩+砂砾,,,18,,0.920000017,,18.583333,,,6.950847939,60,,241,,,,6.949999809,H517,1.100000024,299.7000122,6,10.80000019,180,,1
,,,报废,江汉,,,,,90,,1:30,,,,,,,,180,,,,7.83333,,,,,,7.100097656,,,鲁7,,,,,3.3408462,,,,,1.24,,,,,46,,20,,2,,,,,,2683.100098,,,,,,,,7:50,,,,,,,,,,,T2K2,,,10,,,,,,2676,,,砂砾,,,6,,,,1.5,,,4.733398438,60,,216,,,,4.730000019,PQ82,,,取芯1,,60,,1
,5.139999866,,报废,江汉,4573,,,,90,,9:55,,,,,,,,180,,58.59000015,,9,1.5,,,,,66.89990234,,,鲁7,,,,0:30,3.3408462,,,,,1.24,,1,,,45,,32,114.9000015,2,,,,,,2750,,,,2,,,,9:00,,,,,,,,,,,T2K2,,,11,,,,,,2683.100098,,,砂砾,,,18,2,0.920000017,,9.9166666,,,6.746208685,60,,0,,,,6.75,H517,1.100000024,296.7999878,6,10.60000038,180,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,勘一,,,,,98,,27:00:00,,,,,,,,170,,,,1.5,,,,,,68.73999786,,9000,巴22,,,,,4.7566667,,,,,1.08,,J3,,,22,,55,,3,,,,,,68.73999786,,,,Y3,,,,1:30,,,,,,,,,,,西域组,,,1,,,,,,0,,,泥岩,,,17,Z3,,,27,,,2.545925847,117,,444.5,,,,2.549999952,P3,,,O1,,50,,1
,,,,重庆,,,,,98,,27:45:00,,,,,,,,170,,,,3.166666,,,,,,85.51999664,,9000,巴22,,,,,4.7566667,,,,,1.08,,J3,,,22,,55,,3,,,,,,154.2599945,,,,Y3,,,,3:10,,,,,,,,,,,西域组,,,2,,,,,,68.73999786,,,泥岩,,,17,Z3,,,27.75,,,3.081801681,117,,444.5,,,,3.079999924,P3,,,O2,,50,,1
